Name,Brand,Price,Discount,Reviews,Rating
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)",Vitron,"KSh 16,999",41%,(3618 verified ratings),4 out of 5
"Infinix Note 40 Pro, 6.78'', 256GB + 8GB RAM (UPTO 16GB RAM), Dual SIM, 5000mAh, Black (1YR  WRTY)",Infinix,"KSh 27,000",10%,(23 verified ratings),3.9 out of 5
VON VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY),VON,"KSh 25,399",42%,(550 verified ratings),4.2 out of 5
"Itel A80, 6.7"", 3GB RAM + 128GB (Dual SIM), 5000mAh, Black (1 YR WRTY)",Itel,"KSh 8,899",21%,(14 verified ratings),4.4 out of 5
"Em  VB-Y66, 1.5L Multifunctional 2 In 1 Blender Powerful 4 Speed Motor Countertop with Grinding Machine, Stainless Steel Blades BD06 - Silver",Em,"KSh 1,999",60%,(42 verified ratings),4.2 out of 5
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)",Vitron,"KSh 5,299",20%,(2750 verified ratings),4 out of 5
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black",XIAOMI,"KSh 12,140",25%,(10 verified ratings),4.2 out of 5
Lyons FK-0323 Stainless Steel 1.8L Electric Kettle-Black,Lyons,KSh 499,50%,(425 verified ratings),4.1 out of 5
Mens Sneakers Shoes Sports Shoes Breathable Running Shoes,Fashion,KSh 899,55%,(766 verified ratings),3.9 out of 5
"Samsung Galaxy A05, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black, (2YRs WRTY)",Samsung,"KSh 8,999",32%,(406 verified ratings),4.1 out of 5
Nunix Hair Red Blow Dryer With Beauty Accessories HD-01,Nunix,KSh 781,12%,(1274 verified ratings),3.5 out of 5
